Bug ID,Summary,Test Suite,Priority,Severity,Status,Error Type,Component,Expected Result,Actual Result,Impact Score
BUG-001,Disabled input fields not found on product page,Colors,Medium,Minor,Open,Element Not Found,Form Elements,Disabled elements with color contrast,No disabled elements found,3
BUG-002,Missing semantic HTML elements,Compatibility,High,Critical,Open,Accessibility,HTML Structure,Semantic HTML structure,No semantic elements found,9
BUG-003,No form elements present,Compatibility,Medium,Major,Open,Progressive Enhancement,Form Handling,Form fallbacks available,No form elements found,6
BUG-004,Missing alt text on images,Content,High,Major,Open,Accessibility,Product Images,All images with alt text,Images without alt attributes,8
BUG-005,Missing error message containers,Content,Medium,Major,Open,UX,User Feedback,Error message display areas,No error containers found,6
BUG-006,Missing success message containers,Content,Medium,Minor,Open,UX,Success Notifications,Success feedback mechanisms,No success containers found,4
BUG-007,Missing placeholder text in inputs,Content,Low,Minor,Open,Usability,Input Fields,Helpful placeholder text,No placeholder attributes found,2
BUG-008,Missing form labels,Content,High,Major,Open,Accessibility,Form Labels,All inputs with labels,No label elements found,8
BUG-009,Missing breadcrumb navigation,Content,Medium,Minor,Open,Navigation,Breadcrumbs,Breadcrumb navigation present,No breadcrumb elements found,4
BUG-010,Missing copyright information,Content,Low,Minor,Open,Legal,Footer Information,Copyright notice in footer,No footer/copyright found,2
BUG-011,Non-functional links present,Links,Medium,Major,Open,Navigation,Link Functionality,All links working properly,Dead links found,6
BUG-012,Font compatibility issues,Links,Low,Minor,Open,Typography,Font Rendering,Cross-browser font support,Font rendering issues,3
BUG-013,Missing image size optimization,Images,Medium,Minor,Open,Performance,Image Optimization,Properly sized images,Oversized images found,4
BUG-014,Low image resolution,Images,Medium,Minor,Open,Quality,Image Quality,High resolution images,Low quality images found,4
BUG-015,Missing image alt attributes,Images,High,Major,Open,Accessibility,Image Accessibility,Alt text on all images,Missing alt attributes,8
BUG-016,Inappropriate image content,Images,Low,Minor,Open,Content,Image Relevance,Relevant image content,Irrelevant images found,2
BUG-017,Poor navigation visibility,Usability,Medium,Major,Open,UX,Navigation,Clear navigation structure,Navigation not intuitive,6
BUG-018,Unclear error messages,Usability,Medium,Major,Open,UX,Error Handling,Clear error descriptions,Confusing error messages,6
BUG-019,Missing accessibility features,Usability,High,Critical,Open,Accessibility,Website Accessibility,Full accessibility compliance,Accessibility failures,9
BUG-020,Keyboard navigation broken,Usability,High,Major,Open,Accessibility,Keyboard Support,Full keyboard navigation,Keyboard navigation fails,8
BUG-021,Missing loading indicators,Usability,Low,Minor,Open,UX,Progress Indication,Loading states shown,No loading indicators,2
BUG-022,Search functionality missing,Usability,Medium,Minor,Open,Feature,Search Feature,Working search capability,Search not found,4
BUG-023,Missing help text,Usability,Low,Minor,Open,UX,Help System,Tooltips and help text,No help system found,2
BUG-024,Sample test intentional failure,Sample,Low,Minor,Open,Test,Test Framework,Element should exist,Element not found,1
